,Price,Change %,Volx1M
574,0.002313,-2.71,450.02
575,0.002333,0.86,365.26
576,0.002327,-0.23,600.3
577,0.002347,0.84,303.8
578,0.00235,0.13,301.97
579,0.002293,-2.41,538.78
580,0.002243,-2.18,542.08
581,0.002249,0.25,409.37
582,0.002257,0.36,477.48
583,0.00223,-1.2,340.57
584,0.002223,-0.3,553.73
585,0.002215,-0.35,515.53
586,0.002079,-6.13,861.91
587,0.002067,-0.6,573.91
588,0.002084,0.8,406.53
589,0.002053,-1.47,642.01
590,0.00208,1.34,384.45
591,0.002042,-1.84,439.71
592,0.002066,1.17,354.12
593,0.002062,-0.17,416.45
594,0.002042,-1.01,376.2
595,0.002094,2.55,978.04
596,0.002028,-3.13,565.92
597,0.002032,0.2,580.88
598,0.002021,-0.58,842.72
599,0.001996,-1.22,609.79
600,0.002006,0.48,423.85
601,0.002005,0.0,322.29
602,0.00201,0.26,352.45
603,0.001994,-0.83,318.79
604,0.001891,-5.17,708.23
605,0.001878,-0.67,449.96
606,0.001922,2.36,514.14
607,0.001893,-1.54,557.02
608,0.001909,0.85,589.88
609,0.001927,0.94,426.38
610,0.00188,-2.41,552.21
611,0.001873,-0.39,276.55
612,0.001855,-0.94,359.09
613,0.001805,-2.7,367.55
614,0.001818,0.68,317.79
615,0.001937,6.57,509.73
616,0.001908,-1.5,312.62
617,0.001899,-0.48,310.01
618,0.001861,-1.97,370.2
619,0.001878,0.88,305.58
620,0.001888,0.51,422.38
621,0.00189,0.15,401.46
622,0.00189,0.0,370.37
623,0.001932,2.23,471.52
624,0.002026,4.85,1200.0
625,0.002059,1.64,760.88
626,0.002064,0.26,741.97
627,0.002052,-0.6,502.37
628,0.002021,-1.52,356.05
629,0.002044,1.14,471.4
630,0.00207,1.26,415.37
631,0.001916,-7.4,680.98
632,0.001988,3.74,335.38
633,0.001957,-1.58,352.0
634,0.001951,-0.27,468.38
635,0.001927,-1.25,320.67
636,0.001964,1.9,407.59
637,0.001979,0.79,467.24
638,0.001959,-1.01,247.18
639,0.001908,-2.6,204.78
640,0.001947,2.04,514.18
641,0.001939,-0.44,376.15
642,0.001951,0.66,301.84
643,0.001949,-0.13,353.34
644,0.001978,1.49,403.65
645,0.001959,-0.95,346.39
646,0.001929,-1.55,515.79
647,0.001995,3.45,347.03
648,0.002007,0.59,239.8
649,0.002023,0.78,338.49
650,0.002035,0.58,400.94
651,0.002053,0.91,383.69
652,0.002051,-0.1,422.87
653,0.002061,0.48,343.09
654,0.002051,-0.51,248.18
655,0.002043,-0.36,219.27
656,0.002017,-1.28,331.44
657,0.002025,0.41,174.53
658,0.002023,-0.13,232.01
659,0.002017,-0.28,245.35
660,0.002023,0.33,387.3
661,0.002025,0.06,470.14
662,0.002068,2.13,386.73
663,0.002058,-0.49,482.8
664,0.00209,1.54,385.48
665,0.002084,-0.29,289.35
666,0.002076,-0.36,421.39
667,0.002453,18.15,488.96
668,0.002796,13.99,372.43
669,0.003143,12.41,286.51
670,0.003652,16.2,9370.0
671,0.003551,-2.77,2150.0
672,0.003367,-5.2,1470.0
673,0.00341,1.29,2250.0
674,0.002988,-12.36,2130.0
675,0.002859,-4.33,1870.0
676,0.002965,3.7,1310.0
677,0.002768,-6.63,5550.0
678,0.002839,2.57,4280.0
679,0.002868,1.0,3920.0
680,0.002881,0.45,2600.0
681,0.002776,-3.62,3440.0
682,0.002814,1.36,2610.0
683,0.002811,-0.1,2460.0
684,0.002952,5.0,4600.0
685,0.002888,-2.15,3130.0
686,0.002929,1.43,2840.0
687,0.002787,-4.87,3500.0
688,0.002772,-0.53,2850.0
689,0.002747,-0.91,3380.0
690,0.002598,-5.44,4590.0
691,0.002444,-5.92,3430.0
692,0.002515,2.91,3430.0
693,0.002512,-0.12,2130.0
694,0.002547,1.41,2190.0
695,0.002461,-3.41,2980.0
696,0.00251,2.01,2620.0
697,0.002539,1.18,2430.0
698,0.002599,2.36,2870.0
699,0.002705,4.08,3250.0
700,0.002692,-0.51,3160.0
701,0.002643,-1.81,2160.0
702,0.002596,-1.79,2580.0
703,0.002556,-1.5,2760.0
704,0.002554,-0.11,2630.0
705,0.002497,-2.23,2550.0
706,0.002496,0.0,2750.0
707,0.002776,11.18,5190.0
708,0.002628,-5.32,4090.0
709,0.002728,3.8,3570.0
710,0.003074,12.68,5070.0
711,0.003334,8.48,5250.0
712,0.003135,-5.97,6730.0
713,0.002915,-7.03,5030.0
714,0.002958,1.47,2660.0
715,0.00313,5.81,2310.0
716,0.002976,-4.92,3050.0
717,0.003032,1.91,2480.0
718,0.002932,-3.3,2900.0
719,0.002952,0.67,2740.0
720,0.002989,1.26,3230.0
721,0.002975,-0.47,2560.0
722,0.003046,2.38,3330.0
723,0.003124,2.56,5210.0
724,0.003146,0.69,3570.0
725,0.003171,0.8,3440.0
726,0.003206,1.1,7180.0
727,0.003396,5.95,4950.0
728,0.00335,-1.35,4830.0
729,0.00337,0.59,3710.0
730,0.003165,-6.08,4560.0
